"","ST_ABBR","avgObesityPrev","diabetesPrev","smokingPrev","smokingCOPD","ckdPrev","asthmaPrev","chdPrev","htaPrev"
"1","AK",29.5182266009852,7.4,19.1,39.1,2.5,9.2,2.8,31.8
"2","AL",34.366,14.1,19.2,36.1,4,10.5,5.5,41.9
"3","AR",35.0505,12.2,22.7,41.6,3.7,9.8,5.9,41.3
"4","AZ",28.4238317757009,10.4,14,34.1,3.6,10,3.7,30.7
"5","CA",25.4711627906977,10.5,11.2,20.1,2.9,8.5,2.8,28.4
"6","CO",22.1823255813954,7.4,14.5,28.4,2.2,9.1,2.7,25.9
"7","CT",26.6645933014354,9.8,12.2,26.9,2.6,10.3,3.8,30.5
"8","DC",24.1241379310345,7.8,13.8,37.4,2.6,11.6,2.2,26.7
"9","DE",30.1618090452261,11.3,16.5,32.5,3.7,10.1,4.2,34.9
"10","FL",27.0009433962264,10.5,14.5,26.3,3.4,8.7,4.7,34.6
"11","GA",29.7787439613527,11.4,16.1,31,3.2,8.9,4,33.1
"12","HI",24.7850961538462,10.9,13.4,22.2,2.9,9.3,2.5,30.6
"13","IA",32.0917948717949,9.6,16.6,36.7,2.4,7.9,4.1,31.5
"14","ID",29.0777777777778,8.7,14.7,32.4,3.1,8.6,3.3,29.8
"15","IL",29.3455,11,15.5,33.2,2.8,8.7,4,32.2
"16","IN",32.3834951456311,11.8,21.1,42.6,3.4,10,4.8,35.2
"17","KS",31.7919047619048,10.5,17.2,33.1,2.7,9.8,4,32.8
"18","KY",33.3582089552239,12.9,23.4,44.2,4.2,11.5,6.2,39.4
"19","LA",34.989,13.6,20.5,34.9,3.8,8.9,5.3,39
"20","MA",24.9805687203791,9.5,13.4,30.3,2.9,10.2,3.6,28.6
"21","MD",29.4520930232558,10.4,12.5,28.9,3.1,9.3,3.3,32.4
"22","ME",29.260621761658,10.7,17.8,35.9,3,12.3,4.7,34.8
"23","MI",31.5366666666667,11,18.9,37.1,3.5,11.2,5.2,34.7
"24","MN",27.8308056872038,7.8,15.1,33.1,2.4,8.3,3.4,26.6
"25","MO",31.9781094527363,10.4,19.4,39.4,2.5,9.4,4.7,32
"26","MS",35.9344262295082,14.2,20.5,37.9,2.5,9.7,5.6,40.8
"27","MT",26.1015463917526,7.9,18,35.4,2,10,3.1,29
"28","NC",30.6519230769231,11.4,17.4,35.7,3.2,9.4,4.3,34.7
"29","ND",32.3597883597884,9,19.1,36.5,2.5,8.2,3.8,29.5
"30","NE",31.0352380952381,10.1,16,29.3,2.7,8.9,3.8,30.6
"31","NH",27.1121052631579,8.4,15.6,33.4,2.5,11.8,3.4,30
"32","NJ",26.4547619047619,11,13.1,30.6,3.1,8.4,3.7,33
"33","NM",28.1826923076923,10.7,15.2,27.9,3,9.9,3.1,30.5
"34","NV",26.8641148325359,10.4,15.7,34.4,4,8,4.3,32.6
"35","NY",25.8831730769231,10.5,12.8,30.7,2.7,10.1,3.9,29.4
"36","OH",31.2537735849057,11.3,20.5,36.2,2.9,9.4,4.7,34.7
"37","OK",33.0478260869565,12.7,19.7,37.5,2.9,10.3,5.3,37.7
"38","OR",28.2944444444444,9.6,15.6,33.6,2.9,11.6,3.6,30.1
"39","PA",29.8437810945274,10.6,17,30.8,3.2,10,5.1,32.6
"40","RI",27.0294117647059,8.9,14.6,31.1,2.4,11.9,3.8,33.1
"41","SC",31.9892018779343,13.4,18,35.5,3.2,9.1,4.9,38.1
"42","SD",30.53125,11.1,19,35.5,2.7,7.9,4.7,30.8
"43","TN",33.0031413612565,13.1,20.7,47.4,3.9,9.8,4.9,38.7
"44","TX",31.6846153846154,11.9,14.4,32.1,3.7,7.4,3.3,32.5
"45","UT",25.6509523809524,7.1,9,25.5,2.6,9.3,2.7,24.5
"46","VA",29.144019138756,10.5,14.9,33.9,3,8.5,3.8,32.4
"47","VT",26.6858638743456,8.2,13.7,33.3,2,12,4,30.4
"48","WA",27.9849315068493,9.1,12,32.8,2.7,9.6,3.5,29.5
"49","WI",31.5507389162562,9.1,16.4,35.9,2.8,9,3.7,30.8
"50","WV",36.1647058823529,15.2,25.2,43.1,4.6,12.3,7.4,43.5
"51","WY",28.0751322751323,9,18.8,37,2.4,8.7,3.7,30.8
